name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Lämmle Antonia,6015,🇩🇪 (Germany),422,20-34,https://utmb.world/en/runner/5305454.antonia.lammle,Antonia LÄMMLE
Lang Nicole,6019,🇩🇪 (Germany),420,20-34,https://utmb.world/en/runner/5305380.nicole.lang,Nicole LANG
Lambert Emma,6088,🇬🇧 (United Kingdom),419,45-49,https://utmb.world/en/runner/5000512.emma.lambert,Emma LAMBERT
Kilian Eva,6236,🇩🇪 (Germany),418,20-34,https://utmb.world/en/runner/5495125.eva.kilian,Eva KILIAN
Wöckinger Julia,6325,🇦🇹 (Austria),416,20-34,https://utmb.world/en/runner/5287388.julia.wockinger,Julia WÖCKINGER
Hyde Sarah,6350,🇳🇿 (New Zealand),415,20-34,https://utmb.world/en/runner/5306680.sarah.hyde,Sarah HYDE
Krasina Alexandra,6184,🇩🇪 (Germany),409,40-44,https://utmb.world/en/runner/4565820.alexandra.krasina,Alexandra KRASINA
Pegrin Daniela,6005,🇦🇹 (Austria),409,40-44,https://utmb.world/en/runner/1479705.daniela.pegrin,Daniela PEGRIN
Hechler Annika,6048,🇩🇪 (Germany),408,20-34,https://utmb.world/en/runner/5306690.annika.hechler,Annika HECHLER
Musorina Olesya,6067,🇷🇺 (Russia),408,40-44,https://utmb.world/en/runner/5329122.olesya.musorina,Olesya MUSORINA
Ohm Pauline,6322,🇩🇪 (Germany),408,20-34,https://utmb.world/en/runner/2000269.pauline.ohm,Pauline OHM
Barco Judlin Patricia,6264,🇫🇷 (France),407,60-64,https://utmb.world/en/runner/656491.patricia.barcojudlin,Patricia BARCO-JUDLIN
Duret Estelle,8128,🇫🇷 (France),404,50-54,https://utmb.world/en/runner/1941965.estelle.duret,Estelle DURET
Tas Ebru,6298,🇩🇪 (Germany),402,35-39,https://utmb.world/en/runner/1996273.ebru.tas,Ebru TAS
Neusius Andrea,6395,🇩🇪 (Germany),392,45-49,https://utmb.world/en/runner/2398607.andrea.neusius,Andrea NEUSIUS
Spath Julia,6091,🇩🇪 (Germany),383,45-49,https://utmb.world/en/runner/3036011.julia.spath,Julia SPATH
Fenz Silvia,6156,🇦🇹 (Austria),381,55-59,https://utmb.world/en/runner/2112989.silvia.fenz,Silvia FENZ
Rottluff Elsa,6354,🇫🇮 (Finland),379,20-34,https://utmb.world/en/runner/5186689.elsa.rottluff,Elsa ROTTLUFF
Mehnert Katrin,6011,🇩🇪 (Germany),366,50-54,https://utmb.world/en/runner/66895.katrin.mehnert,Katrin MEHNERT
Barenbrug Mieke,6075,🇳🇱 (Netherlands),355,40-44,https://utmb.world/en/runner/1492689.mieke.barenbrug,Mieke BARENBRUG
Boutellier Helen,6416,🇨🇭 (Switzerland),355,35-39,https://utmb.world/en/runner/484568.helen.boutellier,Helen BOUTELLIER
Holsappel Anita,6175,🇳🇱 (Netherlands),351,50-54,https://utmb.world/en/runner/5460120.anita.holsappel,Anita HOLSAPPEL
Radulovic Helena,6035,🇦🇹 (Austria),348,20-34,https://utmb.world/en/runner/4219034.helena.radulovic,Helena RADULOVIC
Cooper Clare,6107,🇬🇧 (United Kingdom),346,50-54,https://utmb.world/en/runner/735558.clare.cooper,Clare COOPER
Panzer Marlene,6027,🇦🇹 (Austria),343,20-34,https://utmb.world/en/runner/5305466.marlene.panzer,Marlene PANZER
Stelling Nena,6182,🇩🇪 (Germany),336,20-34,https://utmb.world/en/runner/5522372.nena.stelling,Nena STELLING
Bakun Yuliana,6364,🇺🇦 (Ukraine),0,,,
Domokos Daniella,6021,🇩🇪 (Germany),0,,,
Dyran Gamst Tuva,6125,🇳🇴 (Norway),0,40-44,https://utmb.world/en/runner/3096619.kathrine.myran,Kathrine MYRAN
Frank Cathleen,6155,🇩🇪 (Germany),0,50-54,https://utmb.world/en/runner/3953089.cathleen.frank,Cathleen FRANK
Hack Caro,6008,🇩🇪 (Germany),0,20-34,https://utmb.world/en/runner/5801973.carolin.hack,Carolin HACK
Kaczmarek Mary,6296,🇦🇹 (Austria),0,,,
Kern Katrin,6023,🇩🇪 (Germany),0,55-59,https://utmb.world/en/runner/1383181.katrin.kern,Katrin KERN
Kiunke Jennifer,6406,🇩🇪 (Germany),0,,,
Klimaschewski Maja,6095,🇦🇹 (Austria),0,,,
Lederer Claudia,6212,🇩🇪 (Germany),0,45-49,https://utmb.world/en/runner/1058603.claudia.lederer,Claudia LEDERER
Muyldermans Anja,6394,🇧🇪 (Belgium),0,50-54,https://utmb.world/en/runner/1013463.anja.muyldermans,Anja MUYLDERMANS
Schultz Tamara,6007,🇩🇪 (Germany),0,60-64,https://utmb.world/en/runner/119500.claudia.schultz,Claudia SCHULTZ
Schwarz Friederike,6166,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/3705601.friederike.schwarz,Friederike SCHWARZ
Seerden Isabel,6191,🇦🇹 (Austria),0,,,
Weibeler Kerstin,6043,🇩🇪 (Germany),0,35-39,https://utmb.world/en/runner/1996807.kerstin.weibeler,Kerstin WEIBELER
Wierzchowski Anna,6256,🇩🇪 (Germany),0,,,
Zembrod Jasmin,6038,🇩🇪 (Germany),0,40-44,https://utmb.world/en/runner/4271939.jasmin.zembrod,Jasmin ZEMBROD
