name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Baumgartl Ralf,32,🇩🇪 (Germany),440,55-59,https://utmb.world/en/runner/4226542.ralf.baumgartl,Ralf BAUMGARTL
Fregnoni Fabio,295,🇮🇹 (Italy),439,55-59,https://utmb.world/en/runner/476043.fabio.fregnani,Fabio FREGNANI
Hoffmann Stefan,107,🇩🇪 (Germany),438,35-39,https://utmb.world/en/runner/4762346.stefan.hoffmann,Stefan HOFFMANN
De Polo Gianni,54,🇮🇹 (Italy),435,60-64,https://utmb.world/en/runner/19796.gianni.depolo,Gianni DE POLO
Barth David,29,🇩🇪 (Germany),431,35-39,https://utmb.world/en/runner/4461672.david.barth,David BARTH
Schwarz Oliver,235,🇩🇪 (Germany),430,50-54,https://utmb.world/en/runner/3035763.oliver.schwarz,Oliver SCHWARZ
Villgrattner Alexander,264,🇮🇹 (Italy),423,35-39,https://utmb.world/en/runner/1097215.alexander.villgrattner,Alexander VILLGRATTNER
Kraume Tobias,143,🇩🇪 (Germany),419,20-34,https://utmb.world/en/runner/4214525.tobias.kraume,Tobias KRAUME
Sesso Mirko,241,🇮🇹 (Italy),417,60-64,https://utmb.world/en/runner/672970.mirko.sesso,Mirko SESSO
Calligione Carlo,45,🇮🇹 (Italy),416,55-59,https://utmb.world/en/runner/1097319.carlo.calligione,Carlo CALLIGIONE
Probst Rudi,201,🇩🇪 (Germany),405,55-59,https://utmb.world/en/runner/3328141.rudi.probst,Rudi PROBST
Kölbl Markus,134,🇩🇪 (Germany),399,40-44,https://utmb.world/en/runner/4046862.markus.kolbl,Markus KÖLBL
Callegari Roberto,57,🇮🇹 (Italy),391,50-54,https://utmb.world/en/runner/5075149.roberto.callegari,Roberto CALLEGARI
Lindemann Ralf,151,🇩🇪 (Germany),391,55-59,https://utmb.world/en/runner/297666.ralf.lindemann,Ralf LINDEMANN
Kraume Henrik,142,🇩🇪 (Germany),389,20-34,https://utmb.world/en/runner/4608164.henrik.kraume,Henrik KRAUME
Klöppel Dominik,129,🇩🇪 (Germany),382,20-34,https://utmb.world/en/runner/674745.dominik.kloppel,Dominik KLÖPPEL
Auer Armin,133,🇮🇹 (Italy),376,45-49,https://utmb.world/en/runner/5327506.andreas.auer,Andreas AUER
De Biasi Alessandro,53,🇮🇹 (Italy),376,20-34,https://utmb.world/en/runner/5220972.alessandro.debiasi,Alessandro DE BIASI
Bovino Paolo,37,🇮🇹 (Italy),366,50-54,https://utmb.world/en/runner/4200776.paolo.bovino,Paolo BOVINO
Kleinschmidt Lars,127,🇩🇪 (Germany),362,55-59,https://utmb.world/en/runner/68901.lars.kleinschmidt,Lars KLEINSCHMIDT
