name,bib,flag,utmb_index,utmb_agegroup,utmb_uri,utmb_name
Puig Collderram Pol,4865,🇪🇸 (Spain),574,35-39,https://utmb.world/en/runner/206654.pol.puigcollderram,Pol PUIG COLLDERRAM
Schönebeck David,4825,🇩🇪 (Germany),572,35-39,https://utmb.world/en/runner/4015959.sebastian.schonnenbeck,Sebastian SCHÖNNENBECK
Dietachmayr Thomas,4360,🇦🇹 (Austria),571,45-49,https://utmb.world/en/runner/2237421.thomas.dietachmayr,Thomas DIETACHMAYR
Chacon Luis Carlos,4468,🇨🇷 (Costa Rica),569,35-39,https://utmb.world/en/runner/4118293.luiscarlos.chacon,Luis Carlos CHACON
Keppler Yannik,4515,🇩🇪 (Germany),569,20-34,https://utmb.world/en/runner/5949900.yannik.keppler,Yannik KEPPLER
Liss Viktor,4423,🇩🇪 (Germany),569,35-39,https://utmb.world/en/runner/4226473.viktor.liss,Viktor LISS
Wenzel Martin,4895,🇩🇪 (Germany),569,45-49,https://utmb.world/en/runner/4461112.martin.wenzel,Martin WENZEL
Loaiza Duran Arnoldo,4781,🇨🇷 (Costa Rica),568,40-44,https://utmb.world/en/runner/2295223.arnoldo.loaizaduran,Arnoldo LOAIZA DURAN
Schreiber Jörg,4867,🇩🇪 (Germany),568,60-64,https://utmb.world/en/runner/18747.jorg.schreiber,Jörg SCHREIBER
Tauer Martin,1026,🇩🇪 (Germany),568,40-44,https://utmb.world/en/runner/4277519.martin.tauer,Martin TAUER
Brida Hannes,4591,🇦🇹 (Austria),567,40-44,https://utmb.world/en/runner/1996473.hannes.brida,Hannes BRIDA
Bitter Robin,4401,🇩🇪 (Germany),566,60-64,https://utmb.world/en/runner/1602703.frank.ritter,Frank RITTER
Hinojosa Sebastian,4542,🇪🇨 (Ecuador),564,40-44,https://utmb.world/en/runner/1570903.davidhernan.proanohinojosa,David Hernan PROAÑO HINOJOSA
Macquet Mickael,4522,🇫🇷 (France),564,45-49,https://utmb.world/en/runner/3738597.mickael.marquet,Mickael MARQUET
Slanzi Giulio,4485,🇮🇹 (Italy),564,20-34,https://utmb.world/en/runner/5063081.giulio.slanzi,Giulio SLANZI
Tillmanns Philipp,4533,🇩🇪 (Germany),564,40-44,https://utmb.world/en/runner/3317827.philipp.tillmanns,Philipp TILLMANNS
Mehnert Christoph,4220,🇩🇪 (Germany),562,55-59,https://utmb.world/en/runner/65912.christoph.mehnert,Christoph MEHNERT
Stark Valentin,4743,🇩🇪 (Germany),562,20-34,https://utmb.world/en/runner/5950712.valentin.stark,Valentin STARK
Aumann Reinhard,4794,🇦🇹 (Austria),561,65-69,https://utmb.world/en/runner/4668426.norbert.amann,Norbert AMANN
Kölb Andreas,4741,🇩🇪 (Germany),561,40-44,https://utmb.world/en/runner/5022658.peter.kolb,Peter KOLB
Wimmer Lukas,4747,🇦🇹 (Austria),561,20-34,https://utmb.world/en/runner/4460844.lukas.wimmer,Lukas WIMMER
Schuck Nils,4492,🇩🇪 (Germany),560,50-54,https://utmb.world/en/runner/168480.nils.schuck,Nils SCHUCK
Eckhardt Thomas,4540,🇩🇪 (Germany),559,60-64,https://utmb.world/en/runner/62979.eckhardt.seher,Eckhardt SEHER
Schmarl Martin,4493,🇦🇹 (Austria),559,35-39,https://utmb.world/en/runner/4015831.martin.schmarl,Martin SCHMARL
